Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume
2022/6/30, 01:31:00.0, 3778.50, 3779.00, 3776.00, 3777.00, 2161, 1601, 3777.63, 3777.33, 3777.50, 1269, 892
2022/6/30, 01:32:00.0, 3777.00, 3779.00, 3775.50, 3777.00, 966, 788, 3777.13, 3777.17, 3777.25, 479, 487
2022/6/30, 01:33:00.0, 3777.00, 3778.25, 3775.75, 3775.75, 739, 592, 3776.69, 3776.58, 3777.00, 363, 376
2022/6/30, 01:34:00.0, 3776.00, 3776.00, 3775.00, 3775.75, 1068, 698, 3775.69, 3775.58, 3775.50, 562, 506
2022/6/30, 01:35:00.0, 3775.75, 3776.25, 3771.50, 3771.75, 2437, 1722, 3773.81, 3773.17, 3773.88, 1525, 912
2022/6/30, 01:36:00.0, 3771.50, 3772.00, 3770.50, 3772.00, 1350, 976, 3771.50, 3771.50, 3771.25, 688, 662
2022/6/30, 01:37:00.0, 3772.25, 3772.25, 3768.75, 3771.25, 1033, 801, 3771.13, 3770.75, 3770.50, 542, 491
2022/6/30, 01:38:00.0, 3771.25, 3773.75, 3770.75, 3773.25, 639, 499, 3772.25, 3772.58, 3772.25, 273, 366
2022/6/30, 01:39:00.0, 3773.25, 3775.00, 3773.25, 3774.25, 674, 480, 3773.94, 3774.17, 3774.13, 266, 408
2022/6/30, 01:40:00.0, 3774.25, 3776.00, 3774.00, 3774.50, 383, 295, 3774.69, 3774.83, 3775.00, 168, 215
2022/6/30, 01:41:00.0, 3774.25, 3774.75, 3769.75, 3770.50, 717, 618, 3772.31, 3771.67, 3772.25, 516, 201
2022/6/30, 01:42:00.0, 3770.50, 3771.25, 3769.25, 3769.75, 526, 468, 3770.19, 3770.08, 3770.25, 263, 263
2022/6/30, 01:43:00.0, 3770.00, 3770.75, 3767.75, 3768.50, 759, 572, 3769.25, 3769.00, 3769.25, 514, 245
2022/6/30, 01:44:00.0, 3768.50, 3771.00, 3767.50, 3770.50, 838, 637, 3769.38, 3769.67, 3769.25, 444, 394
2022/6/30, 01:45:00.0, 3770.50, 3772.00, 3769.50, 3769.50, 733, 621, 3770.38, 3770.33, 3770.75, 335, 398
2022/6/30, 01:46:00.0, 3769.75, 3771.75, 3769.75, 3770.75, 356, 322, 3770.50, 3770.75, 3770.75, 163, 193
2022/6/30, 01:47:00.0, 3770.75, 3773.50, 3770.00, 3773.25, 603, 436, 3771.88, 3772.25, 3771.75, 275, 328
2022/6/30, 01:48:00.0, 3773.25, 3773.50, 3770.75, 3772.25, 1075, 630, 3772.44, 3772.17, 3772.13, 608, 467
2022/6/30, 01:49:00.0, 3772.25, 3774.00, 3771.25, 3773.25, 1038, 668, 3772.69, 3772.83, 3772.63, 474, 564
2022/6/30, 01:50:00.0, 3773.50, 3776.00, 3773.25, 3774.00, 1066, 734, 3774.19, 3774.42, 3774.63, 486, 580
2022/6/30, 01:51:00.0, 3774.00, 3774.50, 3772.75, 3773.75, 287, 270, 3773.75, 3773.67, 3773.63, 143, 144
2022/6/30, 01:52:00.0, 3773.75, 3774.25, 3772.25, 3773.25, 450, 337, 3773.38, 3773.25, 3773.25, 239, 211
2022/6/30, 01:53:00.0, 3773.00, 3773.00, 3771.25, 3772.25, 349, 291, 3772.38, 3772.17, 3772.13, 206, 143
2022/6/30, 01:54:00.0, 3772.25, 3773.75, 3771.50, 3773.50, 143, 141, 3772.75, 3772.92, 3772.63, 59, 84
2022/6/30, 01:55:00.0, 3773.50, 3775.25, 3772.75, 3775.25, 448, 380, 3774.19, 3774.42, 3774.00, 179, 269
2022/6/30, 01:56:00.0, 3775.00, 3776.25, 3774.75, 3775.50, 611, 505, 3775.38, 3775.50, 3775.50, 283, 328
2022/6/30, 01:57:00.0, 3775.25, 3775.75, 3774.25, 3774.75, 440, 295, 3775.00, 3774.92, 3775.00, 212, 228
2022/6/30, 01:58:00.0, 3774.75, 3776.25, 3774.00, 3776.00, 405, 343, 3775.25, 3775.42, 3775.13, 167, 238
2022/6/30, 01:59:00.0, 3775.75, 3776.00, 3774.25, 3774.50, 417, 371, 3775.13, 3774.92, 3775.13, 235, 182
2022/6/30, 02:00:00.0, 3774.50, 3777.25, 3773.50, 3776.50, 1117, 958, 3775.44, 3775.75, 3775.38, 507, 610
2022/6/30, 02:01:00.0, 3776.50, 3777.75, 3775.00, 3775.25, 968, 818, 3776.13, 3776.00, 3776.38, 510, 458
