date,time,open,high,low,close,volume
2021-06-11,07:00:00,13987.5,13990.25,13967.5,13968.75,4031
2021-06-11,08:00:00,13969,13975.25,13954,13962.75,4994
2021-06-11,09:00:00,13962.5,13978,13932.75,13961,36158
2021-06-11,10:00:00,13959.5,13977.25,13931.5,13946.5,32986
2021-06-11,11:00:00,13946.5,13966.25,13924,13950.5,21087
2021-06-11,12:00:00,13950.5,13960.75,13939.5,13952,12892
2021-06-11,13:00:00,13952,13961.75,13938.25,13956.75,9720
2021-06-11,14:00:00,13956.25,13975.25,13956.25,13968,10603
2021-06-11,15:00:00,13967.75,13988.75,13953.25,13986.25,19816
2021-06-11,16:00:00,13986.25,13988.5,13980.5,13985,3806
2021-06-13,18:00:00,13991,14015.25,13990,14010.25,2236
2021-06-13,19:00:00,14010.25,14017,14002.5,14010.75,1677
2021-06-13,20:00:00,14010,14020,13999.5,14013.5,2937
2021-06-13,21:00:00,14013.25,14017,14005.25,14013.5,1729
2021-06-13,22:00:00,14014,14018.25,14012,14016.25,1278
2021-06-13,23:00:00,14016,14016.5,14008.25,14010,900
2021-06-14,00:00:00,14010,14014.25,14008,14009.75,769
2021-06-14,01:00:00,14009.25,14012.5,14008.5,14008.75,797
2021-06-14,02:00:00,14009,14012.75,14000.5,14011.75,2446
2021-06-14,03:00:00,14011.5,14028.5,14005,14009,5446
2021-06-14,04:00:00,14009,14020.5,14003.25,14018,3098
2021-06-14,05:00:00,14018.5,14024.75,14014.25,14022,2715
2021-06-14,06:00:00,14021.75,14037,14016.5,14033.25,3799
2021-06-14,07:00:00,14033,14043.25,14022.5,14029.5,4867
2021-06-14,08:00:00,14029.25,14032.25,14003.25,14010.5,5818
2021-06-14,09:00:00,14010.75,14037.5,13957,14021,54529
2021-06-14,10:00:00,14021.25,14025.5,13980.5,14012.75,48770
2021-06-14,11:00:00,14012.5,14034.75,14006.75,14032.5,29897
2021-06-14,12:00:00,14032.5,14054.25,14028.75,14040.25,25697
2021-06-14,13:00:00,14040.5,14064.75,14036.5,14059,19938
2021-06-14,14:00:00,14059,14064.75,14048.25,14055.5,16749
2021-06-14,15:00:00,14055,14123.5,14044.5,14123.5,46495
2021-06-14,16:00:00,14123.25,14126,14107.75,14109.75,10300
2021-06-14,18:00:00,14111,14115.5,14103.25,14109.5,1925
2021-06-14,19:00:00,14109.75,14115,14106,14106.5,1526
2021-06-14,20:00:00,14107,14147.5,14106.25,14142,5336
2021-06-14,21:00:00,14142,14155.25,14128.75,14130.5,4621
2021-06-14,22:00:00,14130.75,14140.5,14121.75,14132.25,4249
2021-06-14,23:00:00,14132,14141.25,14129,14135,2032
